French,English
partie,part
histoire,history
chercher,search
police,police
genre,kind
frère,brother
laisser,let
mettre,to put
aucun,no
eux,them
ville,city
chaque,each
parlé,speak
devrait,should
bébé,baby
vont,will
pendant,while
aucune,any
place,square
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
façon,way
dont,whose
trouve,find
premier,first
main,hand
côté,side
pouvoir,power
vieux,old
sois,be
matin,morning
tellement,so much
venu,came
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
enfin,finally
espère,hope
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
fin,end
gros,large
aura,will have
jouer,to play
